site,sequence,sent_s,rtt_ms
ER_07,27,56.259,18.9294
ER_07,28,58.259,18.9294
ER_08,0,2.296,18.9294
ER_08,1,4.296,18.9294
ER_08,2,6.296,18.9294
ER_08,3,8.296,18.9294
ER_08,4,10.296,18.9294
ER_08,5,12.296,18.9294
ER_08,6,14.296,18.9294
ER_08,7,16.296,18.9294
ER_08,8,18.296,18.9294
ER_08,9,20.296,18.9294
ER_08,10,22.296,18.9294
ER_08,11,24.296,18.9294
ER_08,12,26.296,18.9294
ER_08,13,28.296,18.9294
ER_08,14,30.296,18.9294
ER_08,15,32.296,18.9294
ER_08,16,34.296,18.9294
ER_08,17,36.296,18.9294
ER_08,18,38.296,18.9294
ER_08,19,40.296,18.9294
ER_08,20,42.296,18.9294
ER_08,21,44.296,18.9294
ER_08,22,46.296,18.9294
ER_08,23,48.296,18.9294
ER_08,24,50.296,18.9294
ER_08,25,52.296,18.9294
ER_08,26,54.296,18.9294
ER_08,27,56.296,18.9294
ER_08,28,58.296,18.9294
ER_09,0,2.333,18.9294
ER_09,1,4.333,18.9294
ER_09,2,6.333,18.9294
ER_09,3,8.333,18.9294
ER_09,4,10.333,18.9294
ER_09,5,12.333,18.9294
ER_09,6,14.333,18.9294
ER_09,7,16.333,18.9294
ER_09,8,18.333,18.9294
ER_09,9,20.333,18.9294
ER_09,10,22.333,18.9294
ER_09,11,24.333,18.9294
ER_09,12,26.333,18.9294
ER_09,13,28.333,18.9294
ER_09,14,30.333,18.9294
ER_09,15,32.333,18.9294
ER_09,16,34.333,18.9294
ER_09,17,36.333,18.9294
ER_09,18,38.333,18.9294
ER_09,19,40.333,18.9294
ER_09,20,42.333,18.9294
ER_09,21,44.333,18.9294
ER_09,22,46.333,18.9294
ER_09,23,48.333,18.9294
ER_09,24,50.333,18.9294
ER_09,25,52.333,18.9294
ER_09,26,54.333,18.9294
ER_09,27,56.333,18.9294
ER_09,28,58.333,18.9294
ER_10,0,2.37,36.8024
ER_10,1,4.37,36.8024
ER_10,2,6.37,36.8024
ER_10,3,8.37,36.8024
ER_10,4,10.37,36.8024
ER_10,5,12.37,36.8024
ER_10,6,14.37,36.8024
ER_10,7,16.37,36.8024
ER_10,8,18.37,36.8024
ER_10,9,20.37,36.8024
ER_10,10,22.37,36.8024
ER_10,11,24.37,36.8024
ER_10,12,26.37,36.8024
ER_10,13,28.37,36.8024
ER_10,14,30.37,36.8024
ER_10,15,32.37,36.8024
ER_10,16,34.37,36.8024
ER_10,17,36.37,36.8024
ER_10,18,38.37,36.8024
ER_10,19,40.37,36.8024
ER_10,20,42.37,36.8024
ER_10,21,44.37,36.8024
ER_10,22,46.37,36.8024
ER_10,23,48.37,36.8024
ER_10,24,50.37,36.8024
ER_10,25,52.37,36.8024
ER_10,26,54.37,36.8024
ER_10,27,56.37,36.8024
ER_10,28,58.37,36.8024
ER_11,0,2.407,18.9294
ER_11,1,4.407,18.9294
ER_11,2,6.407,18.9294
ER_11,3,8.407,18.9294
ER_11,4,10.407,18.9294
ER_11,5,12.407,18.9294
ER_11,6,14.407,18.9294
ER_11,7,16.407,18.9294
ER_11,8,18.407,18.9294
ER_11,9,20.407,18.9294
ER_11,10,22.407,18.9294
ER_11,11,24.407,18.9294
ER_11,12,26.407,18.9294
ER_11,13,28.407,18.9294
ER_11,14,30.407,18.9294
ER_11,15,32.407,18.9294
ER_11,16,34.407,18.9294
ER_11,17,36.407,18.9294
ER_11,18,38.407,18.9294
ER_11,19,40.407,18.9294
ER_11,20,42.407,18.9294
ER_11,21,44.407,18.9294
ER_11,22,46.407,18.9294
ER_11,23,48.407,18.9294
ER_11,24,50.407,18.9294
ER_11,25,52.407,18.9294
ER_11,26,54.407,18.9294
